12,2.925,2.928,3.989,,,6.955,5.995,5.976,,13.487,17.953,11.969,13.962,,,67.326,68.327,68.814,77.792,,,,,,,,,,,
13,2.929,9.76,7.941,,,6.01,3.007,3.989,,15.946,14.959,12.966,11.968,,,68.816,69.813,68.817,75.797,,,,,,,,,,,
14,3.903,2.929,3.99,,,5.984,3.963,2.993,,11.968,19.946,11.969,11.968,,,86.278,69.323,69.813,84.774,,,,,,,,,,,
15,2.928,2.956,4.026,,,5.957,4.987,4.986,,14.961,11.968,11.965,11.969,,,67.818,69.813,69.813,76.794,,,,,,,,,,,
16,2.929,3.922,3.99,,,3.99,5.983,3.991,,12.966,13.963,15.957,15.957,,,69.814,67.818,67.818,100.732,,,,,,,,,,,
17,3.903,3.888,3.951,,,2.992,2.992,3.988,,18.948,11.968,12.966,18.949,,,68.816,69.812,72.806,104.971,,,,,,,,,,,
18,2.928,2.924,3.989,,,3.989,3.989,2.992,,12.966,11.968,11.968,11.967,,,69.813,71.809,68.816,87.766,,,,,,,,,,,
19,2.934,2.901,3.989,,,3.99,4.987,6.982,,12.964,12.965,11.969,11.969,,,67.819,71.807,67.819,74.799,,,,,,,,,,,
20,3.898,3.904,4.023,,,3.988,3.989,3.988,,12.966,13.962,13.962,12.965,,,77.792,70.811,67.818,94.748,,,,,,,,,,,
21,5.856,8.784,6.988,,,2.993,3.989,4.987,,11.968,11.97,13.962,11.969,,,75.797,68.854,67.819,76.793,,,,,,,,,,,
22,2.929,3.904,3.992,,,3.989,3.99,3.99,,11.968,12.965,11.968,12.964,,,80.784,83.777,67.818,74.915,,,,,,,,,,,
23,3.904,12.688,3.98,,,3.989,3.989,4.986,,13.964,13.962,12.965,12.966,,,68.816,84.773,68.323,81.781,,,,,,,,,,,
24,2.928,2.928,4.956,,,3.99,3.99,4.987,,14.958,11.968,11.969,11.968,,,69.813,82.778,67.819,75.306,,,,,,,,,,,
25,2.927,2.929,4.021,,,2.991,3.989,3.989,,12.966,14.96,11.967,12.966,,,67.82,91.755,67.819,73.802,,,,,,,,,,,
26,3.904,3.903,3.955,,,3.989,3.989,4.987,,11.969,11.968,12.965,11.967,,,69.319,94.255,106.714,75.798,,,,,,,,,,,
27,3.904,2.928,3.989,,,3.99,2.994,2.992,,11.966,11.968,11.969,12.966,,,69.813,115.69,111.701,68.257,,,,,,,,,,,
28,2.928,2.928,6.982,,,3.99,4.985,3.989,,12.966,11.968,11.968,11.967,,,67.818,79.787,97.74,73.802,,,,,,,,,,,
29,2.929,3.904,4.031,,,3.988,2.992,3.99,,12.965,12.965,14.96,12.967,,,87.765,70.331,71.807,117.685,,,,,,,,,,,
30,7.808,2.928,3.986,,,3.99,3.989,4.987,,11.97,11.97,12.965,11.967,,,68.816,73.807,69.814,110.705,,,,,,,,,,,
Averages,3.5787,4.034133333,,,,2.992,3.989,3.988,,11.966,11.966,11.969,14.959,,,67.818,70.81,68.324,117.685,,,,,,,,,,,
,,,0,,,3.99,4.987,2.992,,11.968,12.966,11.967,18.95,,,75.798,69.322,69.813,88.762,,,,,,,,,,,
,,,,,,5.119633333,4.7539,4.820366667,,13.28073333,15.9573,14.42803333,14.2286,,,71.9916,82.691,78.953,93.01196667,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unroll Amount,No unrolling,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
Averages,3.5787,4.034133333,4.489266667,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Unroll Amount,No unrolling,2,4,Function,Unroll Amount,0,1,3,4,9,,,,,,,,,,,,,,
,,,,,,Averages,3.5787,4.034133333,4.489266667,Schwefel,Averages,13.28073333,15.9573,14.42803333,14.2286,14.44726667,,,,,,,,,,,,,,
